,win,loss,76人,公牛,凯尔特人,勇士,国王,太阳,奇才,尼克斯,开拓者,快船,掘金,无主队,森林狼,步行者,活塞,湖人,火箭,灰熊,热火,爵士,独行侠,猛龙,篮网,老鹰,雄鹿,雷霆,马刺,骑士,魔术,鹈鹕,黄蜂
809,尼克斯,灰熊,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,1.0,0.0,111.0,0.0,0.0,0.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0
810,热火,篮网,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,4.0,4.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
811,老鹰,魔术,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,2.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
812,马刺,凯尔特人,2.0,3.0,73.0,34.0,0.0,3.0,0.0,3.0,0.0,5.0,1.0,949.0,1.0,0.0,0.0,77.0,72.0,0.0,4.0,0.0,4.0,0.0,1.0,0.0,2.0,16.0,202.0,10.0,1.0,4.0,1.0
813,勇士,活塞,0.0,6.0,15.0,82.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,550.0,1.0,0.0,1.0,45.0,30.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,8.0,8.0,3.0,0.0,0.0,0.0
814,火箭,爵士,3.0,0.0,4.0,4.0,0.0,0.0,0.0,1.0,1.0,18.0,0.0,584.0,5.0,2.0,0.0,3.0,290.0,0.0,15.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,12.0,10.0,1.0,0.0,0.0
815,国王,鹈鹕,4.0,2.0,7.0,7.0,6.0,4.0,0.0,1.0,0.0,1.0,0.0,219.0,1.0,1.0,0.0,23.0,20.0,4.0,2.0,1.0,5.0,1.0,2.0,0.0,0.0,1.0,7.0,9.0,0.0,20.0,0.0
816,篮网,雷霆,1.0,6.0,14.0,26.0,0.0,0.0,2.0,12.0,0.0,2.0,0.0,968.0,3.0,2.0,4.0,46.0,144.0,0.0,1.0,2.0,7.0,0.0,76.0,0.0,3.0,94.0,17.0,22.0,0.0,1.0,0.0
817,公牛,黄蜂,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,152.0,1.0,0.0,0.0,5.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,0.0,0.0,53.0
818,凯尔特人,小牛,0.0,0.0,67.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,242.0,3.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,19.0,0.0,0.0,0.0,0.0,2.0,5.0,9.0,0.0,0.0,0.0
819,湖人,绝杀76人,10.0,4.0,5.0,36.0,0.0,1.0,3.0,1.0,2.0,4.0,0.0,979.0,3.0,0.0,2.0,403.0,48.0,2.0,3.0,0.0,5.0,0.0,1.0,0.0,0.0,6.0,49.0,40.0,0.0,0.0,1.0
820,雄鹿,小牛,2.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,12.0,0.0,2.0,0.0,9.0,1.0,1.0,8.0,0.0,0.0,1.0
821,掘金,魔术,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,27.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
822,爵士,鹈鹕,7.0,1.0,18.0,15.0,2.0,1.0,1.0,14.0,14.0,1.0,1.0,358.0,4.0,0.0,0.0,34.0,46.0,0.0,1.0,26.0,3.0,0.0,0.0,0.0,1.0,0.0,8.0,12.0,0.0,3.0,0.0
823,鹈鹕,掘金,0.0,1.0,15.0,21.0,1.0,0.0,0.0,2.0,0.0,1.0,6.0,287.0,0.0,0.0,0.0,16.0,13.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,29.0,7.0,0.0,3.0,0.0
824,森林狼,快船,2.0,1.0,2.0,3.0,0.0,3.0,1.0,1.0,0.0,9.0,0.0,277.0,4.0,0.0,2.0,4.0,25.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,5.0,6.0,4.0,3.0,2.0,0.0,0.0
825,奇才,太阳,0.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0
826,骑士,国王,4.0,2.0,1.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,774.0,0.0,0.0,0.0,11.0,27.0,0.0,13.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,14.0,175.0,0.0,0.0,18.0
827,掘金,公牛,0.0,3.0,1.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,76.0,4.0,0.0,0.0,2.0,8.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,6.0,1.0,0.0,0.0,0.0
828,勇士,黄蜂,3.0,2.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,369.0,0.0,0.0,0.0,17.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,24.0,3.0,0.0,0.0,19.0
829,勇士,湖人,4.0,11.0,32.0,90.0,1.0,0.0,0.0,2.0,3.0,1.0,3.0,1421.0,4.0,0.0,1.0,278.0,35.0,1.0,5.0,3.0,17.0,0.0,1.0,0.0,1.0,21.0,30.0,19.0,0.0,0.0,0.0
830,步行者,公牛,2.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,159.0,1.0,6.0,0.0,10.0,17.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,10.0,13.0,14.0,0.0,0.0,1.0
831,雄鹿,活塞,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,87.0,0.0,2.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,1.0,5.0,5.0,0.0,0.0,0.0
832,魔术,老鹰,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,0.0,0.0
833,雷霆,爵士,22.0,8.0,11.0,12.0,0.0,3.0,0.0,10.0,0.0,2.0,0.0,1026.0,3.0,1.0,1.0,50.0,48.0,1.0,4.0,0.0,20.0,0.0,1.0,1.0,3.0,105.0,15.0,20.0,0.0,2.0,0.0
834,猛龙,太阳,0.0,3.0,2.0,2.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,71.0,1.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,20.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0
835,奇才,开拓者,4.0,2.0,11.0,2.0,0.0,1.0,11.0,0.0,9.0,0.0,0.0,228.0,2.0,0.0,0.0,7.0,7.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,14.0,6.0,8.0,0.0,0.0,1.0
836,马刺,活塞,1.0,1.0,3.0,1.0,9.0,0.0,0.0,0.0,2.0,0.0,0.0,310.0,0.0,0.0,7.0,1.0,45.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,101.0,3.0,0.0,0.0,1.0
837,勇士,鹈鹕,2.0,1.0,14.0,68.0,0.0,3.0,0.0,0.0,2.0,2.0,0.0,471.0,3.0,1.0,0.0,17.0,16.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,45.0,0.0,3.0,1.0
838,凯尔特人,雄鹿,0.0,1.0,99.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,266.0,1.0,0.0,1.0,8.0,4.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,3.0,11.0,9.0,0.0,0.0,0.0
839,太阳, 76人,21.0,4.0,7.0,2.0,0.0,64.0,3.0,5.0,0.0,1.0,0.0,289.0,1.0,0.0,0.0,18.0,10.0,2.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,11.0,11.0,0.0,0.0,1.0
840,骑士,公牛,0.0,7.0,1.0,1.0,0.0,16.0,0.0,0.0,0.0,3.0,0.0,480.0,0.0,0.0,2.0,7.0,9.0,0.0,17.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,2.0,143.0,0.0,0.0,0.0
841,灰熊,森林狼,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,230.0,7.0,0.0,0.0,2.0,14.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,8.0,12.0,0.0,0.0
842,爵士,奇才,1.0,1.0,18.0,12.0,5.0,1.0,13.0,1.0,1.0,0.0,0.0,310.0,0.0,1.0,0.0,14.0,23.0,0.0,1.0,22.0,1.0,0.0,0.0,2.0,1.0,3.0,5.0,31.0,0.0,0.0,0.0
843,步行者,尼克斯,0.0,0.0,1.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,40.0,0.0,24.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0,0.0,0.0,0.0
844,小牛,掘金,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,125.0,0.0,0.0,0.0,7.0,4.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0
845,雷霆,马刺,4.0,1.0,13.0,17.0,24.0,8.0,2.0,20.0,2.0,1.0,1.0,1313.0,1.0,1.0,1.0,38.0,129.0,0.0,6.0,0.0,4.0,13.0,2.0,0.0,2.0,58.0,218.0,55.0,1.0,0.0,0.0
846,黄蜂,魔术,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,8.0
847,火箭,湖人,2.0,1.0,20.0,7.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,700.0,2.0,0.0,0.0,83.0,242.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,18.0,0.0,0.0,0.0
848,篮网,老鹰,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,42.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
849,小牛,快船,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,135.0,0.0,2.0,1.0,3.0,17.0,1.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,14.0,4.0,0.0,0.0,0.0
850,森林狼,快船,0.0,1.0,3.0,3.0,0.0,0.0,1.0,3.0,0.0,8.0,0.0,191.0,11.0,0.0,0.0,3.0,12.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,5.0,5.0,1.0,0.0,8.0
851,76人,活塞,61.0,2.0,13.0,11.0,0.0,5.0,1.0,0.0,2.0,30.0,0.0,497.0,1.0,0.0,9.0,18.0,19.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,60.0,12.0,0.0,0.0,0.0
852,掘金,雷霆,44.0,5.0,23.0,69.0,2.0,6.0,1.0,21.0,2.0,2.0,3.0,1410.0,8.0,0.0,3.0,85.0,214.0,0.0,6.0,1.0,37.0,0.0,1.0,0.0,3.0,70.0,26.0,21.0,1.0,1.0,1.0
853,勇士,热火,2.0,1.0,4.0,159.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,434.0,2.0,0.0,1.0,13.0,13.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,1.0
854,国王,公牛,4.0,7.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,3.0,0.0,83.0,0.0,0.0,0.0,1.0,2.0,15.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0
855,魔术,尼克斯,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0
856,开拓者,尼克斯,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,18.0,0.0,0.0,62.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
857,鹈鹕,开拓者,4.0,0.0,29.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,158.0,0.0,0.0,0.0,3.0,9.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,1.0,0.0,25.0,0.0
858,掘金,湖人,3.0,0.0,4.0,4.0,0.0,1.0,0.0,2.0,5.0,1.0,24.0,606.0,0.0,0.0,0.0,135.0,9.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,10.0,2.0,0.0,0.0,0.0
859,雷霆,森林狼,8.0,3.0,18.0,28.0,45.0,1.0,2.0,23.0,1.0,21.0,2.0,1412.0,18.0,5.0,0.0,47.0,107.0,0.0,10.0,24.0,11.0,0.0,1.0,0.0,5.0,70.0,17.0,43.0,0.0,2.0,1.0
860,雄鹿,国王,0.0,0.0,0.0,1.0,10.0,0.0,0.0,1.0,0.0,1.0,0.0,72.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,0.0,1.0,0.0,0.0,0.0
861,凯尔特人,太阳,0.0,0.0,12.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,51.0,1.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
